,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneSymbol
ENSG00000198681,104.193599,8.842589787,0.589812385,14.99220772,8.26E-51,1.48E-49,MAGEA1
ENSG00000213401,150.9991693,8.98338227,0.73213485,12.27011974,1.31E-34,1.38E-33,MAGEA12
ENSG00000221867,327.91407,8.175009741,0.795368039,10.27827287,8.83E-25,6.28E-24,MAGEA3
ENSG00000197172,286.1381634,7.448767253,0.815038407,9.139161034,6.29E-20,3.63E-19,MAGEA6
ENSG00000124260,13.22742293,3.303177491,0.657711684,5.022227173,5.11E-07,1.37E-06,MAGEA10
ENSG00000185247,7.953641998,1.931778701,0.424167737,4.554280137,5.26E-06,1.30E-05,MAGEA11
ENSG00000156009,10.79050556,1.079632216,0.2504707,4.310413213,1.63E-05,3.85E-05,MAGEA8
ENSG00000147381,289.5350821,2.771132066,0.650777775,4.258184858,2.06E-05,4.82E-05,MAGEA4
ENSG00000230899,4.019459275,1.105416095,0.266863722,4.142249404,3.44E-05,7.88E-05,MAGEA8-AS1
